id,type,genres,average_rating,num_votes,is_adult
505,movie,"Adventure,Drama,Romance",6.3,576,False
506,movie,"Action,Comedy,Fantasy",6.7,35,False
507,movie,"Comedy,Drama,Music",6.6,5226,False
508,movie,"Adventure,Comedy,Crime",6.0,4022,False
509,movie,"Action,Adventure,War",5.5,210,False
510,movie,"Comedy,Drama",4.5,1138,False
511,tvSeries,Romance,6.7,154,False
512,movie,"Comedy,Romance",7.2,1702,False
513,movie,"Documentary,Sport",7.3,925,False
514,movie,"Comedy,Crime,Drama",6.8,1141,False
515,movie,"Comedy,Romance",6.3,1527,False
516,tvSeries,"Action,Adventure,Drama",7.2,18390,False
517,movie,Documentary,6.4,466,False
518,video,"Animation,Family",6.2,778,False
519,tvSeries,"Animation,Comedy,Family",6.9,370,False
520,video,"Animation,Family,Fantasy",6.3,2141,False
521,tvMovie,"Animation,Family,Fantasy",5.5,751,False
522,movie,"Animation,Family",6.1,728,False
523,movie,"Animation,Musical",5.6,225,False
524,video,"Animation,Family,Fantasy",6.5,2057,False
525,video,"Animation,Family",5.7,719,False
526,movie,"Animation,Family,Musical",5.7,1635,False
527,movie,"Drama,Romance",6.8,685,False
528,tvSeries,"Action,Adventure,Drama",6.8,8821,False
529,movie,"Comedy,Romance",7.5,19716,False
530,movie,"Action,Comedy",5.4,20261,False
531,movie,"Comedy,Drama,Romance",8.1,76408,False
532,movie,"Comedy,Romance",3.5,329,False
533,short,"Comedy,Short",6.9,37,False
534,movie,"Biography,Drama",5.8,6623,False
535,movie,"Action,Romance",5.4,1176,False
536,movie,"Comedy,Sport",6.5,57119,False
537,movie,"Drama,Mystery,Thriller",7.0,181393,False
538,movie,"Comedy,Documentary,Music",7.5,880,False
539,movie,"Action,Animation,Crime",6.4,50596,False
540,movie,"Drama,Music,Romance",6.0,3784,False
541,tvSeries,"Comedy,Crime,Drama",7.3,8220,False
542,movie,"Action,Sci-Fi",5.2,1887,False
543,tvSeries,"Adventure,Reality-TV",6.5,129,False
544,tvSeries,Reality-TV,7.2,353,False
545,movie,"Comedy,Drama,Family",8.0,3725,False
546,short,"Drama,Family,Fantasy",7.1,42,False
547,movie,"Drama,Family",7.3,463,False
548,movie,"Biography,Documentary,Drama",8.7,3238,False
549,movie,"Comedy,Drama,Romance",5.6,3631,False
550,tvSeries,Drama,7.6,11,False
551,tvSeries,Drama,6.7,15,False
552,movie,Documentary,8.0,73,False
553,tvSeries,"Animation,Crime,Drama",7.8,6272,False
554,movie,"Drama,War",7.7,75029,False
555,movie,"Comedy,Crime,Drama",7.1,3414,False
556,movie,Drama,6.4,4420,False
557,movie,Documentary,7.2,516,False
558,tvEpisode,Reality-TV,7.0,5,False
559,movie,"Action,Comedy,Drama",4.8,273,False
560,movie,"Adventure,Animation,Comedy",6.8,51817,False
561,tvSeries,"Comedy,Drama,Romance",8.1,2785,False
562,movie,Comedy,4.0,161,False
563,movie,Documentary,6.8,5717,False
564,tvSeries,"Biography,Documentary,Sport",6.9,35,False
565,movie,"Drama,Horror,Sci-Fi",4.7,943,False
566,movie,"Biography,Drama,Romance",7.0,58727,False
567,movie,"Adventure,Comedy,Family",6.0,88983,False
568,movie,"Adventure,Animation,Comedy",6.1,144919,False
569,movie,"Drama,Musical,Romance",5.5,941,False
